list,category,term,status,notes
forbidden_tokens,numbers_food_body,kalorie,APPROVED,
forbidden_tokens,numbers_food_body,kalorien,APPROVED,
forbidden_tokens,numbers_food_body,bmi,APPROVED,
forbidden_tokens,numbers_food_body,gewicht,APPROVED,
forbidden_tokens,numbers_food_body,kilo,APPROVED,
forbidden_tokens,numbers_food_body,abnehmen,APPROVED,
forbidden_tokens,numbers_food_body,zunehmen,APPROVED,
forbidden_tokens,shame,versagt,APPROVED,
forbidden_tokens,shame,gescheitert,APPROVED,
forbidden_tokens,shame,verpasst,APPROVED,
forbidden_tokens,appearance,dünn,APPROVED,
forbidden_tokens,appearance,dick,APPROVED,
forbidden_tokens,appearance,übergewicht,APPROVED,
forbidden_tokens,appearance,untergewicht,APPROVED,
crisis_signals,,umbringen,APPROVED,
crisis_signals,,selbstmord,APPROVED,
crisis_signals,,suizid,APPROVED,
crisis_signals,,nicht mehr leben,APPROVED,
crisis_signals,,mir das leben nehmen,APPROVED,
crisis_signals,,mich verletzen,APPROVED,
